total: 221
@deepseek-ai/dsh	dsh CLI: profile boot, plugin management, and the browser UI alias
@deepseek-ai/dsh-mcp-client	MCP client bridge: connects to MCP servers and registers their tools on ctx.tools
@deepseek-ai/dsh-message-feedback	Lifecycle-bound per-message rating and note sidecar for the DeepSeek Harness
@deepseek-ai/dsh-native-command	Zero-dependency no-shell execFile runner for host-native OS integrations: utf8 stdio capture, abort propagatio
@deepseek-ai/dsh-output-retention	Zero-dependency bounded-retention primitive: ItemRetainer/TextRetainer + neutral notice helpers (what did we k
@deepseek-ai/dsh-permission-presets	User-facing permission presets (ctx.permissionPresets) for the DeepSeek Harness: one product-level Permissions
@deepseek-ai/dsh-persona	Composition-authored deployment persona section for the DeepSeek Harness
@deepseek-ai/dsh-plan-mode	Logged per-agent plan mode with deployment guidance, a direct slash command, and a user-reviewed exit
@deepseek-ai/dsh-pwsh-local	Local PowerShell implementation of the DeepSeek Harness bash executor seam
@deepseek-ai/dsh-pwsh-sandbox	Sandbox-consuming implementation of the DeepSeek Harness PowerShell executor seam (confines every command via 
@deepseek-ai/dsh-repeat-tool-reminder	Repeat-tool-call guard plugin: advisory reminders when an agent loops on identical tool calls
@deepseek-ai/dsh-sandbox	Abstract process-sandbox seam (ctx.sandbox) for the DeepSeek Harness: same-world confinement vocabulary and th
@deepseek-ai/dsh-sandbox-local	Local process-sandbox backends for the DeepSeek Harness sandbox seam: bwrap, the npm-distributed landlock-run 
@deepseek-ai/dsh-sandbox-policy	Per-call sandbox policy resolver and current model context: deployment fallbacks plus each session's mode and 
@deepseek-ai/dsh-sandbox-windows-acl	Windows ACL write-restriction sandbox backend (restricted-token spawn with capability-SID write allowlist) for
@deepseek-ai/dsh-schedule	Agent-scoped durable after, at, and fixed-rate reminders over the session event log
@deepseek-ai/dsh-scope	Scoped-context registration primitive (scope tags, scope-filtered event dispatch) for the DeepSeek Harness
@deepseek-ai/dsh-sdk-client	TypeScript client SDK for driving a DeepSeek Harness runtime subprocess over stdio JSON-RPC: the DeepSeekHarne
@deepseek-ai/dsh-sdk-jsonrpc-demo	Bin that boots an external Cordis config for the stdio JSON-RPC SDK runtime
@deepseek-ai/dsh-sdk-jsonrpc-server	Stdio JSON-RPC server plugin for out-of-process DeepSeek Harness SDK clients
@deepseek-ai/dsh-sdk-protocol	Shared wire protocol for the DeepSeek Harness SDK runtime: the newline-delimited JSON-RPC stdio transport and 
@deepseek-ai/dsh-session	Event-sourced session store for the DeepSeek Harness
@deepseek-ai/dsh-session-checkpoint-policy	Semantic session durability checkpoints before model requests and tool side effects
@deepseek-ai/dsh-session-log-export	Web Session-log export command and shared download dialog
@deepseek-ai/dsh-session-persistence	Abstract durable session persistence seam (ctx.sessionPersistence) for the DeepSeek Harness
@deepseek-ai/dsh-session-persistence-jsonl	JSONL durable session persistence backend for the DeepSeek Harness
@deepseek-ai/dsh-session-persistence-sqlite	SQLite durable session persistence backend for the DeepSeek Harness
@deepseek-ai/dsh-session-projection	Session-projection seam: the merge-extensible projection type table, the provider contract, and the ctx.sessio
@deepseek-ai/dsh-session-projection-cache	Persisted projection cache (ctx.sessionProjectionCache): durable per-session projection checkpoints over the d
@deepseek-ai/dsh-session-query	Combined session query service contract with concrete reads, traces, and filters
@deepseek-ai/dsh-session-query-sqlite	Concrete ctx.sessionQuery backend with SQLite FTS5 search
@deepseek-ai/dsh-session-reference	Cross-session snapshot references and durable untrusted model context (ctx.sessionReferenceResolver)
@deepseek-ai/dsh-session-stats	Whole-log conversation counts and wall times projection (sessionStats) for the DeepSeek Harness
@deepseek-ai/dsh-session-telemetry	SessionTelemetryBackend seam for the DeepSeek Harness: session-event capture, projection, redaction, and hando
@deepseek-ai/dsh-session-telemetry-otel	OpenTelemetry backend for the DeepSeek Harness telemetry seam: hands captured session records to the OTel JS S
@deepseek-ai/dsh-session-title	Log-backed session title service and provider registry for the DeepSeek Harness
@deepseek-ai/dsh-session-title-all-prompts-llm	All-user-messages LLM provider plugin for DeepSeek Harness session titles
@deepseek-ai/dsh-session-title-first-prompt-llm	First-message LLM provider plugin for DeepSeek Harness session titles
@deepseek-ai/dsh-session-title-llm	Shared LLM generation policy for DeepSeek Harness session-title providers
@deepseek-ai/dsh-settings	Abstract user-settings seam (ctx.settings) for the DeepSeek Harness
@deepseek-ai/dsh-settings-file	File-backed settings provider (settings.yaml) for the DeepSeek Harness
@deepseek-ai/dsh-shell	Abstract bash executor seam (ctx.shell) for the DeepSeek Harness
@deepseek-ai/dsh-shell-env	Tool-independent managed DSH_* shell environment registry
@deepseek-ai/dsh-skill	Agent skill provider registry for the DeepSeek Harness
@deepseek-ai/dsh-skill-badge	Bundled dsh badge skill provider for DeepSeek Harness
@deepseek-ai/dsh-skill-filesystem	Local filesystem skill provider for the DeepSeek Harness
@deepseek-ai/dsh-spill	Abstract spill storage seam (ctx.spillStore) for the DeepSeek Harness — save oversized tool text and return a 
@deepseek-ai/dsh-spill-local	Local-filesystem implementation of the DeepSeek Harness spill storage seam (private session-scoped files)
@deepseek-ai/dsh-spill-policy	Tool-result spill policy for the DeepSeek Harness — replaces oversized plain-text tool results with a retained
@deepseek-ai/dsh-storage	Storage hub (ctx.storage): named backend registry plus mounted data-form facilities for the DeepSeek Harness
@deepseek-ai/dsh-storage-domain	Domain data form (ctx.storage.domain): schema-validated, event-emitting KV domains over storage backends for t
@deepseek-ai/dsh-storage-json	JSON file KV storage backend for the DeepSeek Harness storage hub
@deepseek-ai/dsh-storage-sqlite	SQLite storage backend (kv facet) for the DeepSeek Harness storage hub
@deepseek-ai/dsh-subagent	Abstract subagent seam (ctx.subagents): named-provider registry for delegating to child agents
@deepseek-ai/dsh-subagent-acp	Out-of-process ACP subagent backend: drives a child agent in a spawned subprocess over the Agent Client Protoc
@deepseek-ai/dsh-subagent-claude-code	One-shot Claude Code subagent provider over the official Agent SDK
@deepseek-ai/dsh-subagent-codex	One-shot Codex subagent provider over the official app-server protocol
@deepseek-ai/dsh-subagent-dsh-sdk	Out-of-process SDK subagent backend: drives a child DeepSeek Harness runtime subprocess over stdio JSON-RPC th
@deepseek-ai/dsh-subagent-fork-in-process	In-process fork subagent backend: runs a child agent seeded with a prefix of the parent's log
@deepseek-ai/dsh-subagent-in-process-driver	Shared in-process subagent run driver: drives a child agent on ctx.agents (used by the spawn and fork backends
@deepseek-ai/dsh-subagent-spawn-in-process	In-process spawn subagent backend: runs a fresh child agent on ctx.agents
@deepseek-ai/dsh-subprocess	Subprocess seam (ctx.subprocess) for the DeepSeek Harness — managed process groups, bounded spill-backed outpu
@deepseek-ai/dsh-subprocess-e2b	E2B subprocess implementation for DeepSeek Harness
@deepseek-ai/dsh-subprocess-local	Local-subprocess implementation of the DeepSeek Harness subprocess seam
@deepseek-ai/dsh-system-prompt	System prompt assembly registry for the DeepSeek Harness
@deepseek-ai/dsh-terminal	Persistent PTY session seam for the DeepSeek Harness — owner-scoped ids, backend registry, interactive sends, 
@deepseek-ai/dsh-terminal-bash	Persistent shell PTY backend over the DeepSeek Harness subprocess terminal primitive
@deepseek-ai/dsh-time-context	Opt-in durable per-step context with the current time and elapsed time
@deepseek-ai/dsh-timeout	Zero-dependency timeout/deadline primitive: clampTimeout, deadline, timeoutOf, TimeoutReason (timing + classif
@deepseek-ai/dsh-tmux-context	Opt-in durable per-step context with this agent's tmux pane and window location
@deepseek-ai/dsh-token-meter	Replay-aware token measurement service (ctx.tokenMeter) for the DeepSeek Harness
@deepseek-ai/dsh-tool-ask-user	Model-facing ask_user_question tool over the ctx.userQuestions seam
@deepseek-ai/dsh-tool-bash	Model-facing bash tool with optional generic background-job and sandbox-escalation support
@deepseek-ai/dsh-tool-bash-persistent	Model-facing owner-scoped persistent Bash tool backed by the Harness PTY service
@deepseek-ai/dsh-tool-call-timeout-policy	Tool-call timeout policy: a tools/execute wrapper that arms a per-tool deadline on exec.signal and returns TOO
@deepseek-ai/dsh-tool-cordis	Self-referential cordis toolset: inspect the live runtime, mount and dispose model-written plugins
@deepseek-ai/dsh-tool-fs	Model-facing filesystem tools (read, write, edit) over the DeepSeek Harness filesystem seam (ctx.fs)
@deepseek-ai/dsh-tool-fs-search	Model-facing filesystem discovery tools (glob, grep) backed by the packaged ripgrep binary (@vscode/ripgrep)
@deepseek-ai/dsh-tool-goal	Model-facing same-session goal tools with execution-time authority checks
@deepseek-ai/dsh-tool-jobs	Model-facing background job control tools (job_output, job_list, job_kill) over the ctx.jobs registry
@deepseek-ai/dsh-tool-lsp	Model-facing lsp tool over the DeepSeek Harness LSP capability seam (ctx.lsp) — one read-only tool with goToDe
@deepseek-ai/dsh-tool-pwsh	Model-facing pwsh tool over the bash executor seam
@deepseek-ai/dsh-tool-ralph	Model-facing fresh-agent Ralph loop over the workflow and subagent seams
@deepseek-ai/dsh-tool-session-query	Workspace-authorized model-facing session history search, trace, and event read tools
@deepseek-ai/dsh-tool-skill	Model-facing skill loading tool for the DeepSeek Harness
@deepseek-ai/dsh-tool-str-replace-editor	Model-facing view, create, literal replace, and line insert tool over the Harness filesystem service
@deepseek-ai/dsh-tool-subagent	Model-facing subagent delegation tool over the ctx.subagents seam
@deepseek-ai/dsh-tool-subagent-control	Globally named send_message, interrupt_agent, and list_agents tools over ctx.subagents continuations
@deepseek-ai/dsh-tool-subagent-report	Child-scoped report tool over ctx.subagents continuations
@deepseek-ai/dsh-tool-terminal	Six model-facing persistent PTY tools with owner isolation and generic background-job integration
@deepseek-ai/dsh-tool-todo	Model-facing todo_write tool over the DeepSeek Harness event-sourced session log
@deepseek-ai/dsh-tool-web	Model-facing web tools (web_search, web_fetch) over the DeepSeek Harness web capability seam (ctx.web)
@deepseek-ai/dsh-tool-workflow	Model-facing workflow tool: run a JavaScript orchestration script over ctx.workflowEngine
@deepseek-ai/dsh-tools	Tool registry and execution pipeline for the DeepSeek Harness
@deepseek-ai/dsh-typert-generator	TypeScript project analyzer and model-driven Typert artifact generator
@deepseek-ai/dsh-typert-loader	Loader integration for generated Typert package contributions
@deepseek-ai/dsh-typert-protocol	Compiler-independent Remote metadata and Typert provider protocols
@deepseek-ai/dsh-typert-registry	Runtime registry for generated package reflection and Zod schemas
@deepseek-ai/dsh-user-approval	User-approval seam (ctx.approval) for the DeepSeek Harness: one-shot permission decisions dispatched to compos
@deepseek-ai/dsh-user-questions	Abstract user-questions seam (ctx.userQuestions) for asking the human during agent runs
@deepseek-ai/dsh-web	Abstract web access capability seam (ctx.web) for the DeepSeek Harness — search/fetch provider registry, regis
@deepseek-ai/dsh-web-app	The dsh browser-surface bundle: the web patch layer over dsh-base plus the runtime glue plugin (frontend dist 
@deepseek-ai/dsh-web-fetch-http	Anonymous public HTTP(S) fetch provider for the DeepSeek Harness web capability seam (ctx.web)
@deepseek-ai/dsh-web-frontend	Web application entry: vite build over the @deepseek-ai/dsh-client-web shell library; dist/ served by apps/cli
@deepseek-ai/dsh-web-search-deepseek	DeepSeek-backed search provider (native web_search via the Anthropic-compatible API) for the DeepSeek Harness 
@deepseek-ai/dsh-web-search-exa	Exa-backed search provider for the DeepSeek Harness web capability seam (ctx.web)
@deepseek-ai/dsh-web-search-perplexity	Perplexity-backed search provider for the DeepSeek Harness web capability seam (ctx.web)
@deepseek-ai/dsh-workflow	Workflow capability seam: ctx.workflowEngine service, run vocabulary, and workflow/* events
@deepseek-ai/dsh-workflow-worker-thread	worker-thread workflow engine: executes model-written orchestration scripts off the host event loop, bridging 
@deepseek-ai/dsh-workspace	Workspace entity registry (ctx.workspaceRegistry): durable workspace records with validated session attachment
